Catégorie,Sous-catégorie,Nom du cours,Durée,Avis,Intervenant,Éditeur
Développement professionnel,Gestion d'entreprise,Gestion de projet,12 h,4.5,Rémi Bachelet,"L’École centrale de Lille aussi appelée Centrale Lille (EC-Lille) est une école d'ingénieurs généraliste française, établie en 1872 sous la dénomination institut industriel du Nord (IDN), héritière de l'école des arts industriels et des mines de Lille fondée en 1854. Elle est membre du groupe Centrale."
Développement professionnel,Gestion d'entreprise,Reporting et communication de la RSE,54 h,4.5,Valérie Swaen,"L’Université catholique de Louvainou UCLouvain est une université belge francophone multi-site présente dans six villes belges et qui réunit, depuis l'adoption du nouveau nom, l'UCL et l'Université Saint-Louis - Bruxelles."
Développement professionnel,Gestion d'entreprise,Réalisez votre business model canvas,6 h,5.0,Franck Debane,"OpenClassrooms(anciennement le Site du Zéro ou SdZ), est un site web qui propose des cours autour de l'informatique, des sciences et de l'entrepreneuriat."
Développement professionnel,Gestion d'entreprise,Planifiez une politique d'audit au sein de votre entreprise,8 h,5.0,Annie Le Clair,"OpenClassrooms(anciennement le Site du Zéro ou SdZ), est un site web qui propose des cours autour de l'informatique, des sciences et de l'entrepreneuriat."
Développement professionnel,Gestion d'entreprise,Gestion de projets de développement,30 h,4.9,Gentile Senat,Non spécifié
Développement professionnel,Gestion d'entreprise,Intégrer la responsabilité sociétale dans les pratiques métiers et la stratégie business,1 h,4.8,Bpi France,"Bpi Franceest une banque publique d'investissement française, ayant pour mission le financement et le développement des entreprises. Elle est née à la fin de l'année 2012 du regroupement d'Oséo, de CDC Entreprises, du Fonds stratégique d'investissement (FSI) et du FSI Régions."
Développement professionnel,Gestion d'entreprise,Pilotez la supply chain dans l'industrie du futur,12 h,4.4,Cédric Facon,LeCESIest l'une des 205 écoles d'ingénieurs françaises accréditées au 1ᵉʳ septembre 2018 à délivrer un diplôme d'ingénieur.
Développement professionnel,Gestion d'entreprise,Entreprendre dans les Industries Culturelles à l'ère du numérique,11 h,4.0,Sana De Courcelles,"Sciences Poest une institution d’enseignement supérieur et de recherche en sciences humaines et sociales qui consacre 35% de son budget à la recherche.Fondée en 1871, elle forme depuis 140 ans les responsables de demain, dans le secteur privé comme dans la haute administration, la politique et la recherche.Sciences Po se caractérise par une internationalisation poussée : sur les 12 000 étudiants que compte l’établissement, 46% sont des étudiants internationaux et viennent de plus de 150 pays. Sciences Po investit dans la responsabilité sociale et fait de la diversité sociale et culturelle une composante structurante de son identité. 27 % des étudiants éligibles sont boursiers à Sciences Po. Ils étaient 6% en l’an 2000.Sciences Po contribue au débat public par sa recherche et par la variété des débats et conférences qui y sont organisés chaque année.Depuis une dizaine d’années, Sciences Po s’emploie à intégrer les outils numériques à ses enseignements (espaces de travail partagés, eCours, Moodle, Cartothèque en ligne, cartographie des controverses, projet Forccast etc.) et s’est donc naturellement intéressé au format proposé par les MOOCs et aux nouvelles possibilités offertes en matière d’innovation pédagogique."
Développement professionnel,Gestion d'entreprise,Communication d'entreprise,2 h,4.0,Non spécifié,"Avomarc vous accompagne gratuitement dans vos démarches de création d'entreprise, en ligne ou en face à face."
Développement professionnel,Gestion d'entreprise,Les partenariats qui changent le monde : alliances innovantes entre entreprises et associations,8 h,3.3,Thierry Sibieude,"L'École supérieure des sciences économiques et commerciales(plus couramment ESSEC Business School ou ESSEC) est une grande école de commerce et de gestion française, de statut associatif à but non lucratif (association loi de 1901) fondée en 1907 et dont le campus principal est situé à Cergy. Elle possède également des implantations à La Défense, Rabat et Singapour, qui servent notamment aux programmes ESSEC Global BBA et ESSEC Executive MBA."
Développement professionnel,Gestion d'entreprise,Gérer ses données dans le respect des contraintes légales,30 min,4.5,Bpi France,"Bpi Franceest une banque publique d'investissement française, ayant pour mission le financement et le développement des entreprises. Elle est née à la fin de l'année 2012 du regroupement d'Oséo, de CDC Entreprises, du Fonds stratégique d'investissement (FSI) et du FSI Régions."
Développement professionnel,Gestion d'entreprise,Rédigez votre pacte d'actionnaires,6 h,4.5,Romain Laventure,"OpenClassrooms(anciennement le Site du Zéro ou SdZ), est un site web qui propose des cours autour de l'informatique, des sciences et de l'entrepreneuriat."
