Catégorie,Sous-catégorie,Nom du cours,site,Durée,Avis,Intervenant,Éditeur
Développement professionnel,Marketing,Analysez des données marketing,Sur openclassrooms.com,4 h,4.6,Jilda Joseph-Angelique,"OpenClassrooms(anciennement le Site du Zéro ou SdZ), est un site web qui propose des cours autour de l'informatique, des sciences et de l'entrepreneuriat."
Développement professionnel,Marketing,Se préparer à l’international avec le marketing digital,Sur www.bpifrance-universite.fr,1 h,5.0,Gilles Dandel,"Bpi Franceest une banque publique d'investissement française, ayant pour mission le financement et le développement des entreprises. Elle est née à la fin de l'année 2012 du regroupement d'Oséo, de CDC Entreprises, du Fonds stratégique d'investissement (FSI) et du FSI Régions."
Développement professionnel,Marketing,Maîtrisez votre politique de prix,Sur openclassrooms.com,12 h,5.0,Pierre-Olivier Giffard,"OpenClassrooms(anciennement le Site du Zéro ou SdZ), est un site web qui propose des cours autour de l'informatique, des sciences et de l'entrepreneuriat."
Développement professionnel,Marketing,Vendre sur Internet,Sur metropoleposition.fr,1 h,4.8,Non spécifié,Non spécifié
Développement professionnel,Marketing,Découvrez le métier de community manager,Sur openclassrooms.com,4 h,4.8,Julie Siegel,"OpenClassrooms(anciennement le Site du Zéro ou SdZ), est un site web qui propose des cours autour de l'informatique, des sciences et de l'entrepreneuriat."
Développement professionnel,Marketing,Le commerce omnicanal pour transformer la relation client,Sur openclassrooms.com,8 h,4.7,Louis-David Benyayer,"L'ICD est l'école de commerce du Groupe IGS qui vous forme à devenir des experts en commerce et en marketing, en France et à l'étranger.Créé en 1980, l’ICD International Business School (Institut International du Commerce et du Développement) est l’école de commerce du Groupe IGS.Installé près du Canal Saint-Martin, l’ICD fait bénéficier à ses étudiants de toute la richesse d’un campus inter écoles. Ici, tous les étudiants des différentes écoles d’enseignement supérieur du Groupe IGS se côtoient et coopèrent dans la réalisation de projets communs (Soirées étudiantes, missions humanitaires, trophées sportifs…). Différents par leurs profils (école de ressources humaines, de gestion, de communication…), ils viennent de toutes régions et de tous les pays (plus de 54 nationalités différentes) avec leur propre culture."
Développement professionnel,Marketing,Atelier Numérique,Sur digitalactive.withgoogle.com,8 h,4.6,Google,"Googleest une entreprise fondée le 4 septembre 1998 dans le garage Google dans la Silicon Valley, en Californie, par Larry Page et Sergueï Brin, créateurs du moteur de recherche Google."
Développement professionnel,Marketing,Élaborez votre campagne publicitaire,Sur openclassrooms.com,6 h,4.6,Rodolphe Vonthron,"OpenClassrooms(anciennement le Site du Zéro ou SdZ), est un site web qui propose des cours autour de l'informatique, des sciences et de l'entrepreneuriat."
Développement professionnel,Marketing,Les clés pour devenir community manager,Sur openclassrooms.com,6 h,4.0,Laurent Galichet,"OpenClassrooms(anciennement le Site du Zéro ou SdZ), est un site web qui propose des cours autour de l'informatique, des sciences et de l'entrepreneuriat."
Développement professionnel,Marketing,TwittMOOC,Sur www.2vanssay.fr,Non spécifié,3.3,Stéphanie de Vanssay,Non spécifié
Développement professionnel,Marketing,Menez une recherche utilisateur,Sur openclassrooms.com,12 h,4.5,Liv Danthon Lefebvre,"OpenClassrooms(anciennement le Site du Zéro ou SdZ), est un site web qui propose des cours autour de l'informatique, des sciences et de l'entrepreneuriat."
Développement professionnel,Marketing,Lancez une campagne de publicité avec Google Ads,Sur openclassrooms.com,6 h,4.5,Gwenael Rivet,"OpenClassrooms(anciennement le Site du Zéro ou SdZ), est un site web qui propose des cours autour de l'informatique, des sciences et de l'entrepreneuriat."
Développement professionnel,Marketing,Gérez votre e-réputation et votre influence de marque,Sur openclassrooms.com,10 h,4.5,Charlotte Fayat,"OpenClassrooms(anciennement le Site du Zéro ou SdZ), est un site web qui propose des cours autour de l'informatique, des sciences et de l'entrepreneuriat."
Développement professionnel,Marketing,Optimisez votre stratégie grâce aux Social Media Analytics,Sur openclassrooms.com,8 h,4.5,Charlotte Fayat,"OpenClassrooms(anciennement le Site du Zéro ou SdZ), est un site web qui propose des cours autour de l'informatique, des sciences et de l'entrepreneuriat."
Développement professionnel,Marketing,Faites la promotion de votre entreprise grâce à la publicité en ligne,Sur learndigital.withgoogle.com,135 h,4.5,Google,"Googleest une entreprise fondée le 4 septembre 1998 dans le garage Google dans la Silicon Valley, en Californie, par Larry Page et Sergueï Brin, créateurs du moteur de recherche Google."
Développement professionnel,Marketing,Accélérez la croissance de votre activité avec le growth hacking,Sur openclassrooms.com,6 h,4.5,Kelly Merran,"OpenClassrooms(anciennement le Site du Zéro ou SdZ), est un site web qui propose des cours autour de l'informatique, des sciences et de l'entrepreneuriat."
Développement professionnel,Marketing,Introduction au marketing,Sur cours.edulib.org,20 h,4.9,Johanne Brunet,"HEC Montréal (précédemment École des hautes études commerciales de Montréal) est un établissement universitaire québécois situé à Montréal (Canada), dans l'arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce.Fondée en 1907, elle est la plus ancienne des écoles de commerce et d'administration au Canada et se classe parmi les plus importantes et meilleures écoles de gestion en Amérique du Nord. La langue d'enseignement est le français, mais les cours et des programmes sont aussi offerts en anglais et en espagnol. L'École a décerné 3 994 diplômes en 2012, dont 2 789 de premier cycle, 1192 de second cycle et 13 de troisième cycle.HEC Montréal est la première école de gestion nord-américaine à avoir obtenu les trois accréditations internationales AACSB (États-Unis), AMBA (Royaume-Uni) et EQUIS (Europe). Outre ceci, HEC Montréal est membre de la Conférence des grandes écoles. L'école a par ailleurs fêté le centenaire de sa fondation en 2007."
Développement professionnel,Marketing,Apprendre le marketing autrement : la méthode du produit fil rouge 1,Sur www.fun-mooc.fr,20 h,3.4,Laurence Chérel et Catherine Madrid,"Créée le 3 septembre 2013, l'université de Bordeaux est le fruit de la fusion des universités Bordeaux 1, Bordeaux Segalen et Montesquieu Bordeaux 4. Avec 3000 enseignants et chercheurs, plus de 50 000 étudiants et plus de 700 diplômes, l’université de Bordeaux est un des premiers pôles universitaires français et la 3ème université française (hors région parisienne) par son nombre d’étudiants. La formation et la recherche, fondamentalement liées, sont organisées autour de 4 collèges de formation (sciences et technologies, sciences de la santé, droit - science politique économie-gestion, sciences de l'Homme) et 3 départements de recherche (sciences et technologies, sciences du vivant et de la santé, sciences humaines et sociales). L’université de Bordeaux propose plus de 40 programmes de formation internationaux et est l’un des 10 campus d’excellence français reconnus par un jury international.L’évolution des pratiques pédagogiques est au cœur des préoccupations de l’université de Bordeaux. L’université est un lieu de diffusion du savoir, elle se doit d’être aussi celui du développement des compétences et des aptitudes. A l’heure où les modalités traditionnelles de l’apprentissage sont bousculées et doivent évoluer, ce premier Mooc sur le thème de l’économie de l’innovation est l’occasion d’impliquer une équipe d’enseignants-chercheurs dans la conception de ce nouveau modèle de formation à distance, et de permettre à un public plus large que les étudiants en économie d’accéder à ce domaine de connaissances."
Développement professionnel,Marketing,Transformation digitale des services et des entreprises,Sur www.futurelearn.com,12 h,4.5,Marc PRUNIER,Grenoble Ecole de Managementpropose 40 programmes nationaux et internationaux de premier cycle au niveau du doctorat pour les étudiants et les cadres.
Développement professionnel,Marketing,Parfums : de l'art de sentir au marketing sensoriel,Sur www.fun-mooc.fr,12 h,4.5,Marlène STAIGER,L'institut supérieur international du parfum et de la cosmétique et de l'aromatique alimentaire (ISIPCA) est un établissement d'enseignement supérieur consulaire situé à Versailles (département des Yvelines en France) dans la rue du Parc de Clagny.
Développement professionnel,Marketing,Apprendre le marketing autrement : la méthode du produit fil rouge 2,Sur www.fun-mooc.fr,24 h,4.5,Laurence Chérel et Catherine Madrid,"Créée le 3 septembre 2013, l'université de Bordeaux est le fruit de la fusion des universités Bordeaux 1, Bordeaux Segalen et Montesquieu Bordeaux 4. Avec 3000 enseignants et chercheurs, plus de 50 000 étudiants et plus de 700 diplômes, l’université de Bordeaux est un des premiers pôles universitaires français et la 3ème université française (hors région parisienne) par son nombre d’étudiants. La formation et la recherche, fondamentalement liées, sont organisées autour de 4 collèges de formation (sciences et technologies, sciences de la santé, droit - science politique économie-gestion, sciences de l'Homme) et 3 départements de recherche (sciences et technologies, sciences du vivant et de la santé, sciences humaines et sociales). L’université de Bordeaux propose plus de 40 programmes de formation internationaux et est l’un des 10 campus d’excellence français reconnus par un jury international.L’évolution des pratiques pédagogiques est au cœur des préoccupations de l’université de Bordeaux. L’université est un lieu de diffusion du savoir, elle se doit d’être aussi celui du développement des compétences et des aptitudes. A l’heure où les modalités traditionnelles de l’apprentissage sont bousculées et doivent évoluer, ce premier Mooc sur le thème de l’économie de l’innovation est l’occasion d’impliquer une équipe d’enseignants-chercheurs dans la conception de ce nouveau modèle de formation à distance, et de permettre à un public plus large que les étudiants en économie d’accéder à ce domaine de connaissances."
